id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q336534,Merlyn Rees,1972-03-24,1974-03-04,,Q332759,,
Q332759,Francis Pym,1974-03-04,1974-10-29,Q336534,Q333362,,
Q333362,"Ian Gilmour, Baron Gilmour of Craigmillar",1974-10-29,1975-02-18,Q332759,Q334302,,
Q334302,Airey Neave,1975-02-18,1979-03-30,Q333362,Q333700,,
Q333700,Roy Mason,1979-05-04,1979-07-14,Q334302,Q4981019,,
Q4981019,Brynmor John,1979-07-14,1980-12-08,Q333700,Q5292445,,
Q5292445,Don Concannon,1980-12-08,1983-10-31,Q4981019,Q1617771,,
Q1617771,"Peter Archer, Baron Archer of Sandwell",1983-10-31,1987-07-13,Q5292445,Q6396978,,
Q6396978,Kevin McNamara (politician),1987-07-13,1994-10-20,Q1617771,Q262727,,
Q262727,Mo Mowlam,1994-10-20,1997-05-02,Q6396978,Q4757838,,
Q4757838,Andrew MacKay,1997-06-23,2001-09-14,Q262727,Q333474,,
Q333474,Quentin Davies,2001-09-14,2003-11-11,Q4757838,Q748837,,
Q748837,David Lidington,2003-11-11,2007-07-02,Q333474,Q197894,,
Q197894,Owen Paterson,2007-07-02,2010-05-11,Q748837,Q261001,,
Q261001,Shaun Woodward,2010-05-11,2011-10-07,Q197894,Q285975,,
Q285975,Vernon Coaker,2011-10-07,2013-10-07,Q261001,Q749659,,
Q749659,Ivan Lewis,2013-10-07,2015-09-13,Q285975,Q285975,,
Q285975,Vernon Coaker,2015-09-13,2016-06-26,Q749659,Q3409354,,
Q3409354,David Anderson (British politician),2016-06-26,2017-06-14,Q285975,Q390690,,
Q390690,Owen Smith,2017-06-14,2018-03-23,Q3409354,Q695295,,
Q695295,Tony Lloyd,2018-03-23,2020-04-06,Q390690,Q19957992,,
Q19957992,Louise Haigh,2020-04-06,,Q695295,,,
